Aspect_E,Aspect_N,BPI,Depth,Seabed_curv,Slope,Current_bottom,Direction_curr_E,Direction_curr_N,Current_surface,Change_curr_bottom,Change_curr_surface,Sed_kurt,Sed_med,Mudcontent,Sed_skew,Sed_sort,BMD,Penetration_depth,TOC,TN,CN,VEAS_dist
0.0361344341,0.5606173071,0.1731960976,0.7072762368,0.2950415466,0.4615045775,0.7176843529,0.3571052323,0.5675206935,0.5575536023,1,0.57167617,0.6293831452,0.4487000605,0.5458038266,0.5379833466,0.3996055764,0.176419815,0.0664179359,0.5058432705,0.4162820546,0.5945070861,0.731351122
1,0.7711837885,0.1127775564,0.7636670955,0,0.9008784198,0.1242274271,0.868924978,0,0.8938115473,0.4118407772,0.3851945536,0.478139625,0.5649368547,0.4190659335,0.5220138173,0.6375045389,0.7200446011,1,0.5577921249,0.4162820546,0.6468012558,0
0.5222842272,0,0.5089140859,0.7040815057,0.6090802465,0.4033113414,0.469619913,0.9283033529,0.9170886377,0.6528750751,0.5356035627,0.575018105,0.672174828,0.1295677337,0.893153626,0.6248532805,0,0.652556571,0.6517851057,0.5708675975,0.5550081,0.4402703765,0.3237633864
0.926167715,0.594585123,0.2992192041,0.4483390048,0.4434509479,0.4081930279,0.5928164603,0.538229296,0.7119979735,0.4882728159,0.5416003823,0.7072514737,0.5330334263,0.5423766172,0.5175910477,0.7036012859,0.7146976302,0.58604017,0.5812322331,0.5239613257,0.4964111835,0.4827546457,0.728050691
0.7301539859,0.971310482,0.7857531889,0.1052344585,0.9083344691,0.3472324145,0.72672295,0.9686787216,0.7585531429,0.2645183361,0.5236428943,0.2339605988,0.6439990429,0.6366588056,0.2490086493,0.2990536498,0.6375045389,0,0,1,0.7236416998,0.5731484337,0.9595967482
0.9736824588,0.6767843738,1,0.4588316188,1,0.8717936005,0.1838499468,0.1886015203,0.4732213122,0.8817904205,0.4707053336,0.7237925073,1,0.3224282519,1,1,0.4793375309,0.08725055,0.0145198557,0.4749432831,0.4566392552,0.4916978897,0.0672220628
0.5746103055,1,0.1983460611,1,0.2329703391,0.1770408838,1,0.3571052323,0.1724143272,0.6841616752,0.4921934272,0.494469996,0.1851658095,0.6065856561,0.3251183649,0.3289068412,0.5513015161,1,0.4745520877,0.8344347363,1,0,0.0930467528
0,0.7696732566,0,0.452240016,0.4864059518,0.8936291553,0.7843027447,0.6992955367,0.8831605366,0.3416743076,0.5043874747,0.347719633,0.6293831452,0.4487000605,0.5520026316,0.5220138173,0.3412338289,0.360684195,0.2163651015,0.5787299128,0.4566392552,0.6042440199,1
0.74078034,0.3347247643,0.1694944533,0.0584482543,0.3430552486,1,0.1665797624,0.8304843103,0,0.5465435046,0.4411364113,0.9438404136,0,0.8799526312,0.0876160265,0.0627752519,1,0.360684195,0.0393669906,0.3358626241,0.0930429883,1,0.9657796495
0.0944180151,0.376549214,0.8021571278,0.3158663417,0.8027362687,0.0933260963,0.5810850476,0.538229296,0.7119979735,0.4376018439,0.5982244193,0.4367293074,0.6293831452,0.4834331438,0.690720077,0.8900176625,0.6575714947,0.360684195,0.5254314646,0.4467943665,0.4365348885,0.4916978897,0.4624946328
0.0030276677,0.8199554218,0.8405226578,0.637264691,0.7360810129,0.8019815017,0.6898112816,0.4854276547,0.6641917384,0.5042058671,0.8714332802,0.542979341,0.478139625,0.5225752375,0.3847969599,0.3087290078,0.3102234532,0.3921818599,0.4745520877,0.552571853,0.5160829279,0.4830051206,0.7719732767
0.8708754251,0.5148254054,0.699241413,0.5864548468,0.7681920736,0.8098257405,0.4179835871,0.6271819368,0.8031163897,0.4724358832,0.6540023597,0.5270121615,0.5330334263,0.402528426,0.6171061095,0.5064827309,0.2085293398,0.8931092061,0.5487111657,0.3960426595,0.4566392552,0.384314228,0.9506774783
0.5707161006,0.0762223934,0.5003015923,0.4559297058,0.5262750277,0,0,0.1886015203,0.2334626725,0.3840783719,0.286578861,0.4423777081,0.5330334263,0.4425825625,0.5991775718,0.5712875927,0.3412338289,0.5531419511,0.5254314646,0.3758955735,0.3958785443,0.4705902809,0.9173244596
0.1831443325,0.1376924104,0.4493910736,0.3359835547,0.48498309,0.0487828504,0.531433791,0.1886015203,0.2334626725,0.4190888265,0.7114582455,0.2101732708,0.4384421395,0.5242533979,0.4905205912,0.5712875927,0.5513015161,0.58604017,0.4745520877,0.5239613257,0.4765973155,0.515498462,0.4718165196
0.9413655058,0.8828929163,0.4588526664,0.4815147634,0.4823947048,0.2329967991,0.6033238993,0.4854276547,0.6641917384,0.3957314935,0.5106766653,0.6437417312,0.3958408085,0.5773172528,0.4591185698,0.6830847207,0.8172011028,0.652556571,0.6900698149,0.4980994153,0.4964111835,0.4518028966,0.5659040293
0.9742206202,0.6779166888,0.4311676017,0.9346597734,0.6061936646,0.3639041689,0.4746118444,1,0.4732213122,0.5718600486,0,1,0.2453933468,0.5754591175,0.3707482939,0.3727946241,0.4793375309,1,0.4957892678,0.5944929615,0.574265449,0.4357891785,0.1462461479
